HTS_Code,Description,List
0106.49.00,Live insects other than bees,4a
0106.90.01,"Live animals other than mammals, reptiles, insects, and birds",4a
0201.10.05,"Bovine carcasses and halves, fresh or chid., descr. in gen. note 15 of the HTS",4a
0201.10.10,"Bovine carcasses and halves, fresh or chid., descr. in add. US note 3 to Ch. 2",4a
0201.10.50,"Bovine carcasses and halves, fresh or chid., other than descr. in gen. note 15 or add. US note 3 to Ch. 2",4a
0201.20.02,"High-qual. beef cuts w/bone in, processed, fresh or chid., descr in gen. note 15 of the HTS",4a
0201.20.04,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chid., descr in gen. note 15 of the HTS",4a
0201.20.06,"Bovine meat cuts, w/bone in, not processed, fresh or chid., descr in gen. note 15 of the HTS",4a
0201.20.10,"High-qual. beef cuts, w/bone in, processed, fresh or chid., descr in add. US note 3 to Ch. 2",4a
0201.20.30,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chid., descr in add. US note 3 to Ch. 2",4a
0201.20.50,"Bovine meat cuts, w/bone in, not processed, fresh or chid., descr in add. US note 3 to Ch. 2",4a
0201.20.80,"Bovine meat cuts, w/bone in, fresh or chid., not descr in gen. note 15 or add. US note 3 to Ch. 2",4a
0201.30.02,"High-qual. beef cuts, boneless, processed, fresh or chid., descr in gen. note 15 of the HTS",4a
0201.30.04,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chid., descr in gen. note 15 of the HTS",4a
0201.30.06,"Bovine meat cuts, boneless, not processed, fresh or chid., descr in gen. note 15 of the HTS",4a
0201.30.10,"High-qual. beef cuts, boneless, processed, fresh or chid., descr in add. US note 3 to Ch. 2",4a
0201.30.30,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chid., descr in add. US note 3 to Ch. 2",4a
0201.30.50,"Bovine meat cuts, boneless, not processed, fresh or chid., descr in add. US note 3 to Ch. 2",4a
0201.30.80,"Bovine meat cuts, boneless, fresh or chid., not descr in gen. note 15 or add. US note 3 to Ch. 2",4a
0202.10.05,"Bovine carcasses and halves, frozen, descr. in gen. note 15 of the HTS",4a
0202.10.10,"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2",4a
0202.10.50,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2",4a
0202.20.02,"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS",4a
0202.20.04,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in gen. note 15 of the HTS",4a
0202.20.06,"Bovine meat cuts, w/bone in, not processed, frozen, descr in gen. note 15 of the HTS",4a
0202.20.10,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",4a
0202.20.30,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",4a
0202.20.50,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2",4a
0202.20.80,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",4a
0202.30.02,"High-qual. beef cuts, boneless, processed, frozen, descr in gen. note 15 of the HTS 43332 Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00030 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<130.91UA02NE HTS Subheading Product Description",4a
0202.30.04,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in gen. note 15 of the HTS",4a
0202.30.06,"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS",4a
0202.30.10,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2",4a
0202.30.30,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2",4a
0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2",4a
0202.30.80,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",4a
0203.11.00,"Carcasses and half-carcasses of swine, fresh or chilled",4a
0203.12.10,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in",4a
0203.12.90,"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed",4a
0203.19.20,"Meat of swine nesoi, retail cuts, fresh or chilled",4a
0203.19.40,"Meat of swine, nesoi, non retail cuts, fresh or chilled",4a
0203.21.00,"Carcasses and half-carcasses of swine, frozen",4a
0203.22.10,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in",4a
0203.22.90,"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts",4a
0204.10.00,"Carcasses and half-carcasses of lamb, fresh or chilled",4a
0204.21.00,"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled",4a
0204.22.20,"Cuts of lamb meat with bone in, fresh or chilled",4a
0204.22.40,"Cuts of sheep meat with bone in, nesoi, fresh or chilled",4a
0204.23.20,"Boneless meat of lamb, fresh or chilled",4a
0204.23.40,"Boneless meat of sheep, nesoi, fresh or chilled",4a
0204.30.00,"Carcasses and half-carcasses of lamb, frozen",4a
0204.41.00,"Carcasses and half-carcasses of sheep, other than lamb, frozen",4a
0204.42.20,"Cuts of lamb meat with bone in, frozen",4a
0204.42.40,"Cuts of sheep meat with bone in, nesoi, frozen",4a
0204.43.20,"Boneless meat of lamb, frozen",4a
0204.43.40,"Boneless meat of sheep, nesoi, frozen",4a
0204.50.00,"Meat of goats, fresh, chilled or frozen",4a
0205.00.00,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",4a
0206.21.00,"Tongues of bovine animals, frozen",4a
0206.22.00,"Livers of bovine animals, frozen",4a
0206.29.00,"Edible offal of bovine animals, except tongues or livers, frozen",4a
0206.30.00,"Edible offal of swine, fresh or chilled",4a
0206.41.00,"Livers of swine, frozen",4a
0206.49.00,"Edible offal of swine, except liver, frozen",4a
0206.80.00,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",4a
0206.90.00,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",4a
0207.11.00,"Chickens, not cut in pieces, fresh or chilled",4a
0207.12.00,"Chickens, not cut in pieces, frozen",4a
0207.13.00,"Cuts and offal of chickens, fresh or chilled",4a
0207.14.00,"Cuts and offal of chickens, frozen Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices 43333 VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00031 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<230.91UA02NE HTS Subheading Product Description",4a
0207.24.00,"Turkeys, not cut in pieces, fresh or chilled",4a
0207.25.20,"Turkeys, not cut in pieces, valued less than 88 cents/kg, frozen",4a
0207.25.40,"Turkeys, not cut in pieces, valued 88 cents or more per kg, frozen",4a
0207.26.00,"Cuts and offal of turkeys, fresh or chilled",4a
0207.27.00,"Cuts and offal of turkeys, frozen",4a
0207.41.00,"Ducks, not cut in pieces, fresh or chilled",4a
0207.42.00,"Ducks, not cut in pieces, frozen",4a
0207.43.00,"Fatty livers of ducks, fresh or chilled",4a
0207.44.00,"Cuts and offal, other than fatty livers, of ducks, fresh or chilled",4a
0207.45.00,"Cuts and offal of ducks, frozen",4a
0207.51.00,"Geese, not cut in pieces, fresh or chilled",4a
0207.52.00,"Geese, not cut in pieces, frozen",4a
0207.53.00,"Fatty livers of geese, fresh or chilled",4a
0207.54.00,"Cuts and offal, other than fatty livers, of geese, fresh or chilled",4a
0207.55.00,"Cuts and offal of geese, frozen",4a
0207.60.10,"Guinea fowls, not cut in pieces, fresh or chilled",4a
0207.60.20,"Guinea fowls, not cut in pieces, frozen",4a
0207.60.30,"Fatty livers of guinea fowls, fresh or chilled",4a
0207.60.40,"Cuts and offal, other than fatty livers, of guinea fowls, fresh or chilled",4a
0207.60.60,"Cuts and offal of guinea fowls, frozen",4a
0208.30.00,"Meat and edible meat offal of primates, fresh, chilled or frozen",4a
0208.40.01,"Meat and edible meat offal of whales, dolphins, porpoises, manatees, dugongs, seals, seal lions or walruses, fresh, chilled or frozen",4a
0208.50.00,"Meat and edible meat offal of reptiles, fresh, chilled or frozen",4a
0208.60.00,"Meat and edible meat offal of camels and other camelids, fresh, chilled or frozen",4a
0208.90.30,"Fresh, chilled or frozen quail, eviscerated, not in pieces",4a
0208.90.91,"Other meat and edible meat offal not elsewhere specified or included, fresh, chilled or frozen",4a
0209.10.00,"Pig fat, free of lean meat, fresh, chilled, frozen, salted, in brine, dried or smoked",4a
0209.90.00,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",4a
0210.11.00,"Hams, shoulders and cuts thereof with bone in, salted, in brine, dried or smoked",4a
0210.12.00,"Bellies (streaky) and cuts thereof of swine, salted, in brine, dried or smoked",4a
0210.20.00,"Meat of bovine animals, salted, in brine, dried or smoked",4a
0210.91.00,"Meat and edible offal of primates, salted, in brine, dried or smoked; edible flours and meals thereof",4a
0210.92.01,"Meat, edible offal, & meals of whales,dolphins,porpoises,manatees,dugongs,seals, sea lions, walruses,salted,in brine,dried or smoked",4a
0210.93.00,"Meat and edible offal of reptiles, salted, in brine, dried or smoked; edible flours and meals thereof",4a
0210.99.20,"Meat and edible offal of poultry of heading 0105, in brine, dried or smoked; edible flours and meals thereof 43334 Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00032 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<330.91UA02NE HTS Subheading Product Description",4a
0210.99.91,"Meat and edible offal not elsewhere specified or included, salted, in brine, dried or smoked; edible flours and meals thereof",4a
0401.10.00,"Milk and cream, unconcentrated, with no added sweeteners, fat content, by weight, not more than 1 percent",4a
0401.20.20,"Milk and cream, unconcentrated, unsweetened, fat content over 1% but n/o 6%, for not over 11,356,236 liters entered in any calendar year",4a
0401.20.40,"Milk and cream, unconcentrated, unsweetened, fat content over 1% but not over 6%, for over 11,356,236 liters entered in any calendar year",4a
0401.40.02,"Milk and cream, not concentrated, not sweetened, fat content o/6% but not o/10%, subject to gen. note 15 of the HTS",4a
0401.40.05,"Milk and cream, not concentrated, not sweetened, fat content o/6% but not o/10%, subject to add. US note 5 to Ch. 4",4a
0401.40.25,"Milk and cream, not concentrated, not sweetened, fat content o/6% but not o/10%, not subject to gen. nte 15 or add. nte 5 to Ch. 4",4a
0401.50.02,"Milk and cream, not concentrated, not sweetened, fat content o/10% but not o/45%, subject to gen. note 15 of the HTS",4a
0401.50.05,"Milk and cream, not concentrated, not sweetened, fat content o/10% but not o/45%, subject to add. US note 5 to Ch. 4",4a
0401.50.25,"Milk and cream, not concentrated, not sweetened, fat content o/10% but not o/45%, not subject to gen. nte 15 or add. nte 5 to Ch. 4",4a
0401.50.42,"Milk and cream, not concentrated, not sweetened, fat content o/45%, subject to gen. note 15 of the HTS",4a
0401.50.50,"Milk and cream, not concentrated, not sweetened, fat content o/45%, subject to add. US note 6 to Ch. 4",4a
0401.50.75,"Milk and cream, not concentrated, not sweetened, fat content o/45%, not subject to gen. nte 15 or add. nte 6 to Ch. 4",4a
0402.10.05,"Milk & cream, concen or sweetened, in powder, granules or other solid forms, w/fat content by weight not o/1.5%, subj to GN15",4a
0402.10.10,"Milk & cream in powder granules/other solid forms fat content by weight not exceeding 1.5% whether/not sweetened, described in addl note 7",4a
0402.10.50,"Milk & cream in powder granules/other solid forms fat content by weight not exceeding 1.5% whether/not sweetened, nesoi",4a
0402.21.02,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/1.5% but not o/3%, subj to GN15",4a
0402.21.05,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/1.5% but not o/3%, subj Ch4 US note 7",4a
0402.21.25,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/1.5% but not o/3%, not subj GN15/Ch4 US note7",4a
0402.21.27,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/3% but not o/35%, subject to gen. note 15",4a
0402.21.30,"Milk & cream, concen, not sweetened, in powder/granules/oth solid forms, fat cant o/3% but not o/35%, subj to Ch 4 US note 7",4a
0402.21.50,"Milk & cream, concen, not sweetened, in powder/granules/oth solid forms, fat cant o/3% but not o/35%, not subj to GN15 or Ch 4 US.S. note 7",4a
0402.21.73,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/35%, subject to gen. note 15 Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices 43335 VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00033 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<430.91UA02NE HTS Subheading Product Description",4a
0402.21.75,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/35%, subject to add. US note 9 to Ch.4",4a
0402.21.90,"Milk & cream, concen, not sweetened, in powder, granules or other solid forms, w/fat content o/35%, not subj to GN15 or Ch4 US note 9",4a
0402.29.05,"Milk & cream, concen, sweetened, in powder, granules or other solid forms, w/fat content o/1.5%, subject to gen. note 15",4a
0402.29.10,"Milk & cream, concen, sweetened, in powder, granules or other solid forms, w/fat content o/1.5%, subject to add. US note 10 to Ch.4",4a
0402.29.50,"Milk & cream, concen, sweetened, in powder, granules or other solid forms, w/fat content o/1.5%, not subj to GN15 or Ch4 US note 10",4a
0402.91.03,"Milk & cream, concen, in non-solid forms, not sweetened, in airtight containers, subject to gen. note 15 of the HTS",4a
0402.91.06,"Milk & cream, concen in non-solid forms, not sweetened, not in airtight containers, subject to gen. note 15 of the HTS",4a
0402.91.10,"Milk & cream, concen in non-solid forms, not sweetened, in airtight containers, subject to add. US note 11 to Ch.4",4a
0402.91.30,"Milk & cream, concen in non-solid forms, not sweetened, not in airtight containers, subject to add. US note 11 to Ch. 4",4a
0402.91.70,"Milk & cream, concen in non-solid forms, not sweetened, in airtight containers, not subject to gen. note 15 or add. US note 11 to Ch.4",4a
0402.91.90,"Milk and cream, concentrated, in other than powder, granules or other solid forms, unsweetened, other than in airtight containers",4a
0402.99.03,"Condensed milk, sweetened, in airtight containers, subject to gen. note 15 of the HTS",4a
0402.99.06,"Condensed milk, sweetened, not in airtight containers, subject to gen. note 15 of the HTS",4a
0402.99.10,"Condensed milk, sweetened, in airtight containers, subject to add. US note 11 to Ch.4",4a
0402.99.30,"Condensed milk, sweetened, not in airtight containers, subject to add. US note 11 to Ch. 4",4a
0402.99.45,"Condensed milk, sweetened, in airtight containers, not subject to gen. note 15 or add. US note 11 to Ch.4",4a
0402.99.55,"Condensed milk, sweetened, not in airtight containers, not subject to gen. note 15 or add. US note 11 to Ch.4",4a
0402.99.68,"Milk & cream (except condensed milk), concentrated in non-solid forms, sweetened, subject to gen. note 15 of the HTS",4a
0402.99.70,"Milk & cream (except condensed milk), concentrated in non-solid forms, sweetened, subject to add. US note 10 to Ch. 4",4a
0402.99.90,"Milk & cream (except condensed milk), concentrated in non-solid forms, sweetened, not desc. gen. note 15 or add. US note 10 to Ch. 4",4a
0403.10.05,"Yogurt, in dry form, whether or not flavored or containing add fruit or cocoa, subject to gen. note 15 of the HTS",4a
0403.10.10,"Yogurt, in dry form, whether or not flavored or containing add fruit or cocoa, subject to add. US note 10 to Ch. 4",4a
0403.10.50,"Yogurt, in dry form, whether or not flavored or containing add fruit or cocoa, not subject to gen nte 15 or add. US nte 10 to Ch.4",4a
0403.10.90,"Yogurt, not in dry form, whether or not flavored or containing add fruit or cocoa",4a
0403.90.02,"Sour cream, fluid, n/o 45% by wt. butterfat, subject to gen. note 15 of the HTS",4a
0403.90.04,"Sour cream, fluid, n/o 45% by wt. butterfat, subject to add. US note 5 to Ch.4 43336 Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00034 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<530.91UA02NE HTS Subheading Product Description",4a
0403.90.16,"Sour cream, fluid, n/o 45% by wt. butterfat, not subject to gen nte 15 or add US note 5 to Ch.4",4a
0403.90.20,Fluid buttermilk,4a
0403.90.37,"Sour cream, dried, n/o 6% by wt. butterfat, subject to gen. note 15 of the HTS",4a
0403.90.41,"Sour cream, dried, n/o 6% by wt. butterfat, subject to add. US note 12 to Ch. 4",4a
0403.90.45,"Sour cream, dried, n/o 6% by wt. butterfat, not subject to gen nte 15 or add. US note 12 to Ch.4",4a
0403.90.47,"Sour cream, dried, o/6% but n/o 35% by wt. butterfat, subject to gen. note 15 of the HTS",4a
0403.90.51,"Sour cream, dried, o/6% but n/o 35% by wt. butterfat, subject to add. US note 8 to Ch. 4",4a
0403.90.55,"Sour cream, dried, o/6% but n/o 35% by wt. butterfat, not subject to gen nte 15 or add. US note 8 to Ch. 4",4a
0403.90.57,"Sour cream, dried, o/35% but n/o 45% by wt. butterfat, subject to gen. note 15 of the HTS",4a
0403.90.61,"Sour cream, dried, o/35% but n/o 45% by wt. butterfat, subject to add. US note 9 to Ch. 4",4a
0403.90.65,"Sour cream, dried, o/35% but n/o 45% by wt. butterfat, not subject to gen nte 15 or add. US note 9 to Ch. 4",4a
0403.90.72,"Sour cream, o/45% by wt. butterfat, subject to gen. note 15 of the HTS",4a
0403.90.74,"Sour cream, o/45% by wt. butterfat, subject to add. US note 6 to Ch. 4",4a
0403.90.78,"Sour cream, o/45% by wt. butterfat, not subject to gen nte 15 or add. US note 6 to Ch. 4",4a
0403.90.85,Fermented milk a/than dried fermented milk or a/than dried milk with added lactic ferments,4a
0403.90.87,Curdled milk/cream/kephir & other fermentd or acid. milk/cream descr.in gen. note 15,4a
0403.90.90,Curdled milk/cream/kephir & other fermentd or acid. milk/cream subject to add US note 10 to Ch.4,4a
0403.90.95,Curdled milk/cream/kephir & other fermentd or acid. milk/cream subj to GN 15 or Ch4 US note 10,4a
0404.90.10,Milk protein concentrates,4a
0404.90.28,"Dairy products of nat. milk constituents (except protein cone.), descr. in add. US nte 1 to Ch. 4 and subj to GN 15",4a
0404.90.30,"Dairy products of nat. milk constituents (except protein cone.), descr. in add. US nte 1 to Ch. 4 and sub to Ch4 US note 10",4a
0404.90.50,"Dairy products of nat. milk constituents (except protein cone.), descr. in add. US nte 1 to Ch. 4 & not subj to GN15 or Ch4 US note 10",4a
0404.90.70,"Products consisting of natural milk constituents (except protein cone.), whether or not sweetened, not descr. in add US note 1 to Ch. 4",4a
0405.20.10,"Butter substitute dairy spreads, over 45% butterfat weight, subject to general note 15 (outside quota)",4a
0405.20.20,"Butter substitute dairy spreads, over 45% butterfat weight, subject to quota pursuant to chapter 4 additional US note 14",4a
0405.20.30,"Butter substitute dairy spreads, over 45% butterfat weight, not subj to gen note 15 and in excess of quota in ch. 4 additional US note 14",4a
0405.20.40,"Butter substitute dairy spreads, containing 45% or less butterfat by weight",4a
0405.20.50,"Other dairy spreads of a type provided in chapter 4 additional US note 1, subject to general note 15 (outside quota)",4a
0405.20.60,"Other dairy spreads of a type provided inch. 4 add. US note 1, subject to quota pursuant to chapter 4 additional US note 10 Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices 43337 VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00035 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<630.91UA02NE HTS Subheading Product Description",4a
0405.20.70,"Other dairy spreads of a type provided inch. 4 add. US note 1, not subject to gen note 15 and in excess of quota in ch. 4 add. US note 10",4a
0405.20.80,"Other dairy spreads, not butter substitutes or of a type provided for in chapter 4 additional US note 1",4a
0405.90.05,"Fats and oils derived from milk, other than butter or dairy spreads, subject to general note 15 (outside quota)",4a
0405.90.10,"Fats and oils derived from milk, other than butter or dairy spreads, subject to quota pursuant to chapter 4 additional US note 14",4a
0405.90.20,"Fats and oils derived from milk, other than butter or dairy spreads, not subject to gen note 15 and excess of quota in ch 4 add US note 14",4a
0406.10.02,"Chongos, unripened or uncured cheese, including whey cheese and curd, subject to gen. note 15 of the HTS",4a
0406.10.04,"Chongos, unripened or uncured cheese, including whey cheese and curd, subject to add. US note 16 to Ch. 4",4a
0406.10.08,"Chongos, unripened or uncured cheese, including whey cheese and curd, not subject to gen note 15 or add. US note 16 to Ch. 4",4a
0406.10.12,"Fresh (unripened/uncured) cheese (ex chongos), incl whey cheese and curd, subj to gen. note 15 of the HTS, not GN15",4a
0406.10.14,"Fresh (unripened/uncured) blue-mold cheese, cheese/subs for cheese cant or procd fr blue- mold cheese, subj to Ch4 US note 17, not GN15",4a
0406.10.18,"Fresh (unripened/uncured) blue-mold cheese, cheese/subs for cheese cant or proc fr blue- mold cheese, not subj to Ch4 US note 17 or GN15",4a
0406.10.24,"Fresh (unripened/uncured) cheddar cheese, cheese/subs for cheese cant or proc from cheddar cheese, subj to Ch 4 US note 18, not GN15",4a
0406.10.28,"Fresh (unripened/uncured) cheddar cheese, cheese/subs for cheese cant or proc from cheddar cheese, not subj to Ch4 US note 18, not GN15",4a
0406.10.34,"Fresh (unripened/uncured) american-type cheese, cheese cant or proc. fr american-type, subj to add. US note 19 to Ch.4, not GN15",4a
0406.10.38,"Fresh (unripened/uncured) american-type cheese, cheese cant or proc. fr american-type, not subj to add. US note 19 to Ch.4, not GN15",4a
0406.10.44,"Fresh (unripened/uncured) edam and gouda cheeses, cheese/subs for cheese cant or processed therefrom, subj to Ch4 US note 20, not GN15",4a
0406.10.48,"Fresh (unripened/uncured) edam and gouda cheeses, cheese/subs for cheese cant or processed therefrom, not sub to Ch4 US note 20, not GN15",4a
0406.10.54,"Fresh (unripened/uncured) Italian-type cheeses from cow milk, cheese/substitutes cant or proc therefrom, subj to Ch4 US nte 21, not GN15",4a
0406.10.58,"Fresh (unrip./uncured) Italian-type cheeses from cow milk, cheese/substitutes cant or proc therefrom, not subj to Ch4 US note 21 or GN15",4a
0406.10.64,"Fresh (unrip./uncured) Swiss/emmentaler cheeses w/o eyes, gruyere-process and cheese cont/proc. from, subj to Ch4 US note 22, not GN15",4a
0406.10.68,"Fresh (unripened/uncured) Swiss/emmentaler cheeses exc eye formation, gruyere-process cheese and cheese cant or proc. from such, not subj ..",4a
0406.10.74,"Fresh cheese, and substitutes for cheese,neosi, w/0.5% or less by wt. of butterfat, descr in add US note 23 to Ch 4, not GN15",4a
0406.10.78,"Fresh cheese, and substitutes for cheese,neosi, w/0.5% or less by wt. of butterfat, not descr in add US note 23 to Ch 4, not GN15 43338 Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00036 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<730.91UA02NE HTS Subheading Product Description",4a
0406.10.84,"Fresh cheese, and substitutes for cheese, cont. cows milk, neosi, o/0.5% by wt. of butterfat, descr in add US note 16 to Ch 4, not GN15",4a
0406.10.88,"Fresh cheese, and substitutes for cheese, cont. cows milk, neosi, o/0.5% by wt. of butterfat, not descr in add US note 16 to Ch 4, not GN 15",4a
0406.10.95,"Fresh cheese, and substitutes for cheese, not cont. cows milk, neosi, o/0.5% by wt. of butterfat",4a
0406.20.10,"Roquefort cheese, grated or powdered",4a
0406.20.15,"Stilton cheese, grated or powdered, subject to add. US note 24 to Ch. 4",4a
0406.20.22,"Blue-veined cheese (except Roquefort or Stilton), grated or powdered, subject to gen. note 15 of the HTS",4a
0406.20.24,"Blue-veined cheese (except Roquefort or Stilton), grated or powdered, subject to add. US note 17 to Ch.4",4a
0406.20.28,"Blue-veined cheese (except Roquefort or Stilton), grated or powdered, not subject to gen nte 15 or add. US note 17 to Ch.4",4a
0406.20.29,"Cheddar cheese, grated or powdered, subject to gen. note 15 of the HTS",4a
0406.20.31,"Cheddar cheese, grated or powdered, subject to add. US note 18 to Ch. 4",4a
0406.20.33,"Cheddar cheese, grated or powdered, not subject to gen. note 15 or add. US note 18 to Ch. 4",4a
0406.20.34,"Colby cheese, grated or powdered, subject to gen. note 15 of the HTS",4a
0406.20.36,"Colby cheese, grated or powdered, subject to add. US note 19 to Ch. 4",4a
0406.20.39,"Colby cheese, grated or powdered, not describ. in gen. note 15 or add. US note 19 to Ch. 4",4a
0406.20.43,"Edam and gouda cheese, grated or powdered, subject to gen. note 15 of the HTS",4a
0406.20.44,"Edam and gouda cheese, grated or powdered, subject to add. US note 20 to Ch. 4",4a
0406.20.48,"Edam and gouda cheese, grated or powdered, not subject to gen note 15 or add. US nte 20 to Ch. 4",4a
0406.20.49,"Romano (cows milk), reggiano, provolone, provoletti, sbrinz and goya, grated or powdered, subject to gen. note 15 to HTS",4a
0406.20.51,"Romano, reggiano, provolone, provoletti, sbrinz and goya, made from cow's milk, grated or powdered, subject to add US note 21 to Ch.4",4a
